NAME;CPUS;SHARED_CPU;MEMORY_GB;DEPRECATED;ZONE
m2-ultramem-416;416;False;11776.00;;
m2-ultramem2x-96;96;False;1250.00;OBSOLETE;
m2-ultramemx-96;96;False;600.00;OBSOLETE;
m3-megamem-128;128;False;1952.00;;
m3-megamem-64;64;False;976.00;;
m3-ultramem-128;128;False;3904.00;;
m3-ultramem-32;32;False;976.00;;
m3-ultramem-64;64;False;1952.00;;
m4-megamem-112;112;False;1488.00;;
m4-megamem-224;224;False;2976.00;;
m4-megamem-28;28;False;372.00;;
m4-megamem-56;56;False;744.00;;
m4-ultramem-112;112;False;2976.00;;
m4-ultramem-224;224;False;5952.00;;
m4-ultramem-56;56;False;1488.00;;
n1-highcpu-16;16;False;14.40;;
n1-highcpu-2;2;False;1.80;;
n1-highcpu-32;32;False;28.80;;
n1-highcpu-4;4;False;3.60;;
n1-highcpu-64;64;False;57.60;;
n1-highcpu-8;8;False;7.20;;
n1-highcpu-96;96;False;86.40;;
n1-highmem-16;16;False;104.00;;
n1-highmem-2;2;False;13.00;;
n1-highmem-32;32;False;208.00;;
n1-highmem-4;4;False;26.00;;
n1-highmem-64;64;False;416.00;;
n1-highmem-8;8;False;52.00;;
n1-highmem-96;96;False;624.00;;
n1-megamem-96;96;False;1433.60;DEPRECATED;
n1-standard-16;16;False;60.00;;
n1-standard-1;1;False;3.75;;
n1-standard-2;2;False;7.50;;
n1-standard-32;32;False;120.00;;
n1-standard-4;4;False;15.00;;
n1-standard-64;64;False;240.00;;
n1-standard-8;8;False;30.00;;
n1-standard-96;96;False;360.00;;
n1-ultramem-160;160;False;3844.00;DEPRECATED;
n1-ultramem-40;40;False;961.00;DEPRECATED;
n1-ultramem-80;80;False;1922.00;DEPRECATED;
n2-highcpu-16;16;False;16.00;;
n2-highcpu-2;2;False;2.00;;
n2-highcpu-32;32;False;32.00;;
n2-highcpu-48;48;False;48.00;;
n2-highcpu-4;4;False;4.00;;
n2-highcpu-64;64;False;64.00;;
n2-highcpu-80;80;False;80.00;;
n2-highcpu-8;8;False;8.00;;
n2-highcpu-96;96;False;96.00;;
n2-highmem-128;128;False;864.00;;
n2-highmem-16;16;False;128.00;;
n2-highmem-2;2;False;16.00;;
n2-highmem-32;32;False;256.00;;
n2-highmem-48;48;False;384.00;;
n2-highmem-4;4;False;32.00;;
n2-highmem-64;64;False;512.00;;
n2-highmem-80;80;False;640.00;;
n2-highmem-8;8;False;64.00;;
n2-highmem-96;96;False;768.00;;
n2-standard-128;128;False;512.00;;
n2-standard-16;16;False;64.00;;
n2-standard-2;2;False;8.00;;
n2-standard-32;32;False;128.00;;
n2-standard-48;48;False;192.00;;
n2-standard-4;4;False;16.00;;
n2-standard-64;64;False;256.00;;
n2-standard-80;80;False;320.00;;
n2-standard-8;8;False;32.00;;
n2-standard-96;96;False;384.00;;
n2d-highcpu-128;128;False;128.00;;
n2d-highcpu-16;16;False;16.00;;
n2d-highcpu-224;224;False;224.00;;
n2d-highcpu-2;2;False;2.00;;
n2d-highcpu-32;32;False;32.00;;
n2d-highcpu-48;48;False;48.00;;
n2d-highcpu-4;4;False;4.00;;
n2d-highcpu-64;64;False;64.00;;
n2d-highcpu-80;80;False;80.00;;
n2d-highcpu-8;8;False;8.00;;
n2d-highcpu-96;96;False;96.00;;
n2d-highmem-16;16;False;128.00;;
n2d-highmem-2;2;False;16.00;;
n2d-highmem-32;32;False;256.00;;
n2d-highmem-48;48;False;384.00;;
n2d-highmem-4;4;False;32.00;;
n2d-highmem-64;64;False;512.00;;
n2d-highmem-80;80;False;640.00;;
n2d-highmem-8;8;False;64.00;;
n2d-highmem-96;96;False;768.00;;
n2d-standard-128;128;False;512.00;;
n2d-standard-16;16;False;64.00;;
n2d-standard-224;224;False;896.00;;
n2d-standard-2;2;False;8.00;;
n2d-standard-32;32;False;128.00;;
n2d-standard-48;48;False;192.00;;
n2d-standard-4;4;False;16.00;;
n2d-standard-64;64;False;256.00;;
n2d-standard-80;80;False;320.00;;
n2d-standard-8;8;False;32.00;;
n2d-standard-96;96;False;384.00;;
n4-highcpu-16;16;False;32.00;;
n4-highcpu-2;2;False;4.00;;
n4-highcpu-32;32;False;64.00;;
n4-highcpu-48;48;False;96.00;;
n4-highcpu-4;4;False;8.00;;
n4-highcpu-64;64;False;128.00;;
n4-highcpu-80;80;False;160.00;;
n4-highcpu-8;8;False;16.00;;
n4-highmem-16;16;False;128.00;;
n4-highmem-2;2;False;16.00;;
n4-highmem-32;32;False;256.00;;
n4-highmem-48;48;False;384.00;;
n4-highmem-4;4;False;32.00;;
n4-highmem-64;64;False;512.00;;
n4-highmem-80;80;False;640.00;;
n4-highmem-8;8;False;64.00;;
n4-standard-16;16;False;64.00;;
n4-standard-2;2;False;8.00;;
n4-standard-32;32;False;128.00;;
n4-standard-48;48;False;192.00;;
n4-standard-4;4;False;16.00;;
n4-standard-64;64;False;256.00;;
n4-standard-80;80;False;320.00;;
n4-standard-8;8;False;32.00;;
t2a-standard-16;16;False;64.00;;
t2a-standard-1;1;False;4.00;;
t2a-standard-2;2;False;8.00;;
t2a-standard-32;32;False;128.00;;
t2a-standard-48;48;False;192.00;;
t2a-standard-4;4;False;16.00;;
t2a-standard-8;8;False;32.00;;
t2d-standard-16;16;False;64.00;;
t2d-standard-1;1;False;4.00;;
t2d-standard-2;2;False;8.00;;
t2d-standard-32;32;False;128.00;;
t2d-standard-48;48;False;192.00;;
t2d-standard-4;4;False;16.00;;
t2d-standard-60;60;False;240.00;;
t2d-standard-8;8;False;32.00;;
x4-megamem-1440-metal;1440;False;24576.00;;
x4-megamem-1920-metal;1920;False;32768.00;;
x4-megamem-960-metal;960;False;16384.00;;
z3-highmem-14-standardlssd;14;False;112.00;;
z3-highmem-16-highlssd;16;False;128.00;;
z3-highmem-176-standardlssd;176;False;1408.00;;
