NAME;DESCRIPTION;DISK_SIZE_GB;PROJECT;FAMILY;ARCHITECTURE;CREATION;DEPRECATED;STATUS
sles-15-sp1-sap-v20221108-x86-64;SUSE, SUSE Linux Enterprise Server 15 SP1 for SAP, x86_64, built on 20221108, supports Shielded VM features;10;suse-sap-cloud;sles-15-sp1-sap;X86_64;2022-11-08T06:11:21.343-08:00;;READY
sles-15-sp2-sap-v20221108-x86-64;SUSE, SUSE Linux Enterprise Server 15 SP2 for SAP, x86_64, built on 20221108, supports Shielded VM features;10;suse-sap-cloud;sles-15-sp2-sap;X86_64;2022-11-08T09:06:40.565-08:00;;READY
sles-15-sp3-sap-v20221108-x86-64;SUSE, SUSE Linux Enterprise Server 15 SP3 for SAP, x86_64, built on 20221108, supports Shielded VM features;10;suse-sap-cloud;sles-15-sp3-sap;X86_64;2022-11-08T09:01:48.247-08:00;;READY
sles-15-sp4-sap-v20230623-x86-64;SUSE, SUSE Linux Enterprise Server 15 SP4 for SAP, x86_64, built on 20230623, supports Shielded VM features;10;suse-sap-cloud;sles-15-sp4-sap;X86_64;2023-06-22T19:17:39.742-07:00;;READY
sles-15-sp5-sap-v20230620-x86-64;SUSE, SUSE Linux Enterprise Server 15 SP5 for SAP, x86_64, built on 20230620, supports Shielded VM features;10;suse-sap-cloud;sles-15-sp5-sap;X86_64;2023-06-20T10:28:14.902-07:00;;READY
sles-sap-15-sp4-hardened-v20230623-x86-64;SUSE, SUSE Linux Enterprise Server 15 SP4 for SAP hardened with security features, x86_64, built on 20230623, supports Shielded VM features;10;suse-sap-cloud;sles-sap-15-sp4-hardened;X86_64;2023-06-22T19:17:44.136-07:00;;READY
sles-sap-15-sp5-hardened-v20230620-x86-64;SUSE, SUSE Linux Enterprise Server 15 SP5 for SAP hardened with security features, x86_64, built on 20230620, supports Shielded VM features;10;suse-sap-cloud;sles-sap-15-sp5-hardened;X86_64;2023-06-20T10:30:51.573-07:00;;READY
ubuntu-pro-1604-xenial-v20230710;Canonical, Ubuntu, 16.04 LTS Pro Server, amd64 xenial pro server image built on 2023-07-10, supports Shielded VM features;10;ubuntu-os-pro-cloud;ubuntu-pro-1604-lts;X86_64;2023-07-13T15:27:48.523-07:00;;READY
ubuntu-pro-1804-bionic-arm64-v20230711;Canonical, Ubuntu, 18.04 LTS Pro Server, arm64 bionic pro server image built on 2023-07-11, supports Shielded VM features;10;ubuntu-os-pro-cloud;ubuntu-pro-1804-lts-arm64;ARM64;2023-07-10T23:21:13.077-07:00;;READY
ubuntu-pro-1804-bionic-v20230711;Canonical, Ubuntu, 18.04 LTS Pro Server, amd64 bionic pro server image built on 2023-07-11, supports Shielded VM features;10;ubuntu-os-pro-cloud;ubuntu-pro-1804-lts;X86_64;2023-07-10T23:21:11.938-07:00;;READY
ubuntu-pro-2004-focal-arm64-v20230810;Canonical, Ubuntu, 20.04 LTS Pro Server, arm64 focal pro server image built on 2023-08-10;10;ubuntu-os-pro-cloud;ubuntu-pro-2004-lts-arm64;ARM64;2023-08-10T17:47:41.198-07:00;;READY
ubuntu-pro-2004-focal-v20230810;Canonical, Ubuntu, 20.04 LTS Pro Server, amd64 focal pro server image built on 2023-08-10;10;ubuntu-os-pro-cloud;ubuntu-pro-2004-lts;X86_64;2023-08-10T17:47:43.066-07:00;;READY
ubuntu-pro-2204-jammy-arm64-v20230630;Canonical, Ubuntu, 22.04 LTS Pro Server, arm64 jammy pro server image built on 2023-06-30, supports Shielded VM features;10;ubuntu-os-pro-cloud;ubuntu-pro-2204-lts-arm64;ARM64;2023-06-30T02:18:49.901-07:00;;READY
ubuntu-pro-2204-jammy-v20230630;Canonical, Ubuntu, 22.04 LTS Pro Server, amd64 jammy pro server image built on 2023-06-30, supports Shielded VM features;10;ubuntu-os-pro-cloud;ubuntu-pro-2204-lts;X86_64;2023-06-30T02:18:51.314-07:00;;READY
ubuntu-pro-fips-1804-bionic-v20230530;Canonical, Ubuntu, 18.04 LTS Pro FIPS Server, amd64 bionic pro fips server image built on 2023-05-30, supports Shielded VM features;10;ubuntu-os-pro-cloud;ubuntu-pro-fips-1804-lts;X86_64;2023-05-30T10:07:07.195-07:00;;READY
ubuntu-pro-fips-2004-focal-v20230810;Canonical, Ubuntu, 20.04 LTS Pro FIPS Server, amd64 focal pro fips server image built on 2023-08-10;10;ubuntu-os-pro-cloud;ubuntu-pro-fips-2004-lts;X86_64;2023-08-10T16:55:59.723-07:00;;READY
windows-server-2012-r2-dc-core-v20230809;Microsoft, Windows Server, 2012 R2 Datacenter Core, Server Core, x64 built on 20230809;32;windows-cloud;windows-2012-r2-core;X86_64;2023-08-09T17:05:36.180-07:00;;READY
windows-server-2012-r2-dc-v20230809;Microsoft, Windows Server, 2012 R2 Datacenter, Server with Desktop Experience, x64 built on 20230809;50;windows-cloud;windows-2012-r2;X86_64;2023-08-09T17:05:36.975-07:00;;READY
sql-2014-enterprise-windows-2012-r2-dc-v20230809;Microsoft, SQL Server 2014 Enterprise, on Windows Server 2012 R2 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-ent-2014-win-2012-r2;X86_64;2023-08-09T17:05:46.471-07:00;;READY
sql-2014-enterprise-windows-2016-dc-v20230809;Microsoft, SQL Server 2014 Enterprise, on Windows Server 2016 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-ent-2014-win-2016;X86_64;2023-08-09T17:05:47.035-07:00;;READY
sql-2014-standard-windows-2012-r2-dc-v20230809;Microsoft, SQL Server 2014 Standard, on Windows Server 2012 R2 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-std-2014-win-2012-r2;X86_64;2023-08-09T17:05:47.374-07:00;;READY
cos-arm64-beta-105-17412-156-5;Google, Container-Optimized OS, 105-17412.156.5 beta, Kernel: COS-5.15.120 Kubernetes: 1.25.5 Docker: 23.0.3 Family: cos-arm64-beta;10;cos-cloud;cos-arm64-beta;ARM64;2023-08-01T17:28:48.678-07:00;;READY
cos-arm64-dev-113-17811-0-0;Google, Container-Optimized OS, 113-17811.0.0 dev, Kernel: COS-6.1.42 Kubernetes: 1.27.3 Docker: 24.0.4 Family: cos-arm64-dev;10;cos-cloud;cos-arm64-dev;ARM64;2023-08-07T14:36:03.461-07:00;;READY
cos-arm64-stable-105-17412-156-5;Google, Container-Optimized OS, 105-17412.156.5 stable, Kernel: COS-5.15.120 Kubernetes: 1.25.5 Docker: 23.0.3 Family: cos-arm64-stable;10;cos-cloud;cos-arm64-stable;ARM64;2023-08-01T17:29:04.122-07:00;;READY
cos-beta-105-17412-156-5;Google, Container-Optimized OS, 105-17412.156.5 beta, Kernel: COS-5.15.120 Kubernetes: 1.25.5 Docker: 23.0.3 Family: cos-beta;10;cos-cloud;cos-beta;X86_64;2023-08-01T17:28:52.483-07:00;;READY
cos-dev-113-17811-0-0;Google, Container-Optimized OS, 113-17811.0.0 dev, Kernel: COS-6.1.42 Kubernetes: 1.27.3 Docker: 24.0.4 Family: cos-dev;10;cos-cloud;cos-dev;X86_64;2023-08-07T14:35:47.826-07:00;;READY
ubuntu-2004-focal-arm64-v20230724;Canonical, Ubuntu, 20.04 LTS, arm64 focal image built on 2023-07-24;10;ubuntu-os-cloud;ubuntu-2004-lts-arm64;ARM64;2023-07-24T18:48:49.220-07:00;;READY
ubuntu-2004-focal-v20230724;Canonical, Ubuntu, 20.04 LTS, amd64 focal image built on 2023-07-24;10;ubuntu-os-cloud;ubuntu-2004-lts;X86_64;2023-07-24T18:48:52.251-07:00;;READY
ubuntu-2204-jammy-arm64-v20230727;Canonical, Ubuntu, 22.04 LTS, arm64 jammy image built on 2023-07-27;10;ubuntu-os-cloud;ubuntu-2204-lts-arm64;ARM64;2023-07-26T21:16:59.308-07:00;;READY
ubuntu-2204-jammy-v20230727;Canonical, Ubuntu, 22.04 LTS, amd64 jammy image built on 2023-07-27;10;ubuntu-os-cloud;ubuntu-2204-lts;X86_64;2023-07-26T21:16:56.513-07:00;;READY
ubuntu-2304-lunar-amd64-v20230810;Canonical, Ubuntu, 23.04, amd64 lunar image built on 2023-08-10;10;ubuntu-os-cloud;ubuntu-2304-amd64;X86_64;2023-08-10T18:27:52.446-07:00;;READY
ubuntu-2304-lunar-arm64-v20230810;Canonical, Ubuntu, 23.04, arm64 lunar image built on 2023-08-10;10;ubuntu-os-cloud;ubuntu-2304-arm64;ARM64;2023-08-10T18:27:52.329-07:00;;READY
windows-server-2016-dc-core-v20230809;Microsoft, Windows Server, 2016 Datacenter Core, Server Core, x64 built on 20230809;32;windows-cloud;windows-2016-core;X86_64;2023-08-09T17:05:37.069-07:00;;READY
